,Id_Pos,Estado_Pos,Puntaje_Pos,Id_Exa,Id_Car,Id_Us,CC_As
0,97439e36-74f6-11ed-a0be-0242ac1c000c,Activo,955,991d40a4-74f6-11ed-a0be-0242ac1c000c,993ad344-74f6-11ed-a0be-0242ac1c000c,992c3ac8-74f6-11ed-a0be-0242ac1c000c,344540879
1,9743a0f2-74f6-11ed-a0be-0242ac1c000c,Inactivo,445,991d439c-74f6-11ed-a0be-0242ac1c000c,993ad768-74f6-11ed-a0be-0242ac1c000c,992c3f1e-74f6-11ed-a0be-0242ac1c000c,1317987531
2,9743a192-74f6-11ed-a0be-0242ac1c000c,Inactivo,781,991d445a-74f6-11ed-a0be-0242ac1c000c,993adcb8-74f6-11ed-a0be-0242ac1c000c,992c44be-74f6-11ed-a0be-0242ac1c000c,2169094662
3,9743a200-74f6-11ed-a0be-0242ac1c000c,Inactivo,765,991d44e6-74f6-11ed-a0be-0242ac1c000c,993ade98-74f6-11ed-a0be-0242ac1c000c,992c4572-74f6-11ed-a0be-0242ac1c000c,1793264901
4,9743a26e-74f6-11ed-a0be-0242ac1c000c,Inactivo,924,991d457c-74f6-11ed-a0be-0242ac1c000c,993adf4c-74f6-11ed-a0be-0242ac1c000c,992c4630-74f6-11ed-a0be-0242ac1c000c,2469479639
5,9743a2dc-74f6-11ed-a0be-0242ac1c000c,Activo,877,991d4608-74f6-11ed-a0be-0242ac1c000c,993adfec-74f6-11ed-a0be-0242ac1c000c,992c5756-74f6-11ed-a0be-0242ac1c000c,985298042
6,9743a340-74f6-11ed-a0be-0242ac1c000c,Inactivo,717,991d4694-74f6-11ed-a0be-0242ac1c000c,993ae316-74f6-11ed-a0be-0242ac1c000c,992c5864-74f6-11ed-a0be-0242ac1c000c,2245327353
7,9743a3a4-74f6-11ed-a0be-0242ac1c000c,Activo,794,991d4716-74f6-11ed-a0be-0242ac1c000c,993ae406-74f6-11ed-a0be-0242ac1c000c,992c6818-74f6-11ed-a0be-0242ac1c000c,1157684971
8,9743a3fe-74f6-11ed-a0be-0242ac1c000c,Activo,528,991d47a2-74f6-11ed-a0be-0242ac1c000c,993ae9d8-74f6-11ed-a0be-0242ac1c000c,992c6912-74f6-11ed-a0be-0242ac1c000c,941803614
9,9743a462-74f6-11ed-a0be-0242ac1c000c,Inactivo,774,991d4838-74f6-11ed-a0be-0242ac1c000c,993aea8c-74f6-11ed-a0be-0242ac1c000c,992c69c6-74f6-11ed-a0be-0242ac1c000c,1336539501
10,9743a4c6-74f6-11ed-a0be-0242ac1c000c,Activo,560,991d48ba-74f6-11ed-a0be-0242ac1c000c,993aff22-74f6-11ed-a0be-0242ac1c000c,992c6a70-74f6-11ed-a0be-0242ac1c000c,750271391
11,9743a534-74f6-11ed-a0be-0242ac1c000c,Activo,654,991d4946-74f6-11ed-a0be-0242ac1c000c,993affcc-74f6-11ed-a0be-0242ac1c000c,992c6bba-74f6-11ed-a0be-0242ac1c000c,687923163
12,9743a5ca-74f6-11ed-a0be-0242ac1c000c,Inactivo,461,991d49d2-74f6-11ed-a0be-0242ac1c000c,993b0062-74f6-11ed-a0be-0242ac1c000c,992c6c50-74f6-11ed-a0be-0242ac1c000c,308052371
13,9743a660-74f6-11ed-a0be-0242ac1c000c,Inactivo,626,991d4a5e-74f6-11ed-a0be-0242ac1c000c,993b00ee-74f6-11ed-a0be-0242ac1c000c,992c6ce6-74f6-11ed-a0be-0242ac1c000c,978025219
14,9743ac78-74f6-11ed-a0be-0242ac1c000c,Inactivo,831,991d4af4-74f6-11ed-a0be-0242ac1c000c,993b017a-74f6-11ed-a0be-0242ac1c000c,992c6d7c-74f6-11ed-a0be-0242ac1c000c,2080584870
15,9743ad72-74f6-11ed-a0be-0242ac1c000c,Activo,814,991d4b76-74f6-11ed-a0be-0242ac1c000c,993b0210-74f6-11ed-a0be-0242ac1c000c,992c7b82-74f6-11ed-a0be-0242ac1c000c,319866650
16,9743ae12-74f6-11ed-a0be-0242ac1c000c,Activo,894,991d4bf8-74f6-11ed-a0be-0242ac1c000c,993b03a0-74f6-11ed-a0be-0242ac1c000c,992c7dd0-74f6-11ed-a0be-0242ac1c000c,2379573384
17,9743ae76-74f6-11ed-a0be-0242ac1c000c,Activo,662,991d4c7a-74f6-11ed-a0be-0242ac1c000c,993b0440-74f6-11ed-a0be-0242ac1c000c,992c7eac-74f6-11ed-a0be-0242ac1c000c,2297960732
18,9743bc04-74f6-11ed-a0be-0242ac1c000c,Activo,415,991d4d10-74f6-11ed-a0be-0242ac1c000c,993b04cc-74f6-11ed-a0be-0242ac1c000c,992c7fe2-74f6-11ed-a0be-0242ac1c000c,427817712
19,9743bccc-74f6-11ed-a0be-0242ac1c000c,Inactivo,879,991d4d92-74f6-11ed-a0be-0242ac1c000c,993b0562-74f6-11ed-a0be-0242ac1c000c,992c8096-74f6-11ed-a0be-0242ac1c000c,2297090098
