,Id_Pos,Id_Exa,Id_Car,Id_Us,CC_As,Id_Para
0,c59b513a-74f5-11ed-a166-0242ac1c000c,c5b2fc2c-74f5-11ed-a166-0242ac1c000c,c5ca190c-74f5-11ed-a166-0242ac1c000c,c5df99d0-74f5-11ed-a166-0242ac1c000c,910208731,c5f546b8-74f5-11ed-a166-0242ac1c000c
1,c59b5464-74f5-11ed-a166-0242ac1c000c,c5b302da-74f5-11ed-a166-0242ac1c000c,c5ca32f2-74f5-11ed-a166-0242ac1c000c,c5df9bec-74f5-11ed-a166-0242ac1c000c,925367329,c5f556c6-74f5-11ed-a166-0242ac1c000c
2,c59b550e-74f5-11ed-a166-0242ac1c000c,c5b3051e-74f5-11ed-a166-0242ac1c000c,c5ca35f4-74f5-11ed-a166-0242ac1c000c,c5df9ce6-74f5-11ed-a166-0242ac1c000c,329850188,c5f56134-74f5-11ed-a166-0242ac1c000c
3,c59b559a-74f5-11ed-a166-0242ac1c000c,c5b3060e-74f5-11ed-a166-0242ac1c000c,c5ca370c-74f5-11ed-a166-0242ac1c000c,c5df9dcc-74f5-11ed-a166-0242ac1c000c,1248122136,c5f5665c-74f5-11ed-a166-0242ac1c000c
4,c59b5612-74f5-11ed-a166-0242ac1c000c,c5b306e0-74f5-11ed-a166-0242ac1c000c,c5ca37de-74f5-11ed-a166-0242ac1c000c,c5df9e8a-74f5-11ed-a166-0242ac1c000c,206832797,c5f5810a-74f5-11ed-a166-0242ac1c000c
5,c59b568a-74f5-11ed-a166-0242ac1c000c,c5b307bc-74f5-11ed-a166-0242ac1c000c,c5ca38a6-74f5-11ed-a166-0242ac1c000c,c5df9f52-74f5-11ed-a166-0242ac1c000c,1198368513,c5f58204-74f5-11ed-a166-0242ac1c000c
6,c59b5702-74f5-11ed-a166-0242ac1c000c,c5b30884-74f5-11ed-a166-0242ac1c000c,c5ca395a-74f5-11ed-a166-0242ac1c000c,c5dfa01a-74f5-11ed-a166-0242ac1c000c,1437409893,c5f58308-74f5-11ed-a166-0242ac1c000c
7,c59b577a-74f5-11ed-a166-0242ac1c000c,c5b3094c-74f5-11ed-a166-0242ac1c000c,c5ca3a18-74f5-11ed-a166-0242ac1c000c,c5dfa0e2-74f5-11ed-a166-0242ac1c000c,772152575,c5f583c6-74f5-11ed-a166-0242ac1c000c
8,c59b57e8-74f5-11ed-a166-0242ac1c000c,c5b30a14-74f5-11ed-a166-0242ac1c000c,c5ca3ad6-74f5-11ed-a166-0242ac1c000c,c5dfa1aa-74f5-11ed-a166-0242ac1c000c,343837030,c5f5847a-74f5-11ed-a166-0242ac1c000c
9,c59b586a-74f5-11ed-a166-0242ac1c000c,c5b30adc-74f5-11ed-a166-0242ac1c000c,c5ca3b9e-74f5-11ed-a166-0242ac1c000c,c5dfa272-74f5-11ed-a166-0242ac1c000c,1166191968,c5f58542-74f5-11ed-a166-0242ac1c000c
10,c59b58d8-74f5-11ed-a166-0242ac1c000c,c5b30bf4-74f5-11ed-a166-0242ac1c000c,c5ca3c66-74f5-11ed-a166-0242ac1c000c,c5dfa33a-74f5-11ed-a166-0242ac1c000c,700252185,c5f585f6-74f5-11ed-a166-0242ac1c000c
11,c59b5950-74f5-11ed-a166-0242ac1c000c,c5b30cbc-74f5-11ed-a166-0242ac1c000c,c5ca3d24-74f5-11ed-a166-0242ac1c000c,c5dfa40c-74f5-11ed-a166-0242ac1c000c,654548283,c5f586b4-74f5-11ed-a166-0242ac1c000c
12,c59b59be-74f5-11ed-a166-0242ac1c000c,c5b30d70-74f5-11ed-a166-0242ac1c000c,c5ca3de2-74f5-11ed-a166-0242ac1c000c,c5dfa4c0-74f5-11ed-a166-0242ac1c000c,470777677,c5f58768-74f5-11ed-a166-0242ac1c000c
13,c59b5aa4-74f5-11ed-a166-0242ac1c000c,c5b30e1a-74f5-11ed-a166-0242ac1c000c,c5ca3ea0-74f5-11ed-a166-0242ac1c000c,c5dfa574-74f5-11ed-a166-0242ac1c000c,1984707974,c5f5881c-74f5-11ed-a166-0242ac1c000c
14,c59b5b26-74f5-11ed-a166-0242ac1c000c,c5b30ece-74f5-11ed-a166-0242ac1c000c,c5ca3f54-74f5-11ed-a166-0242ac1c000c,c5dfa61e-74f5-11ed-a166-0242ac1c000c,923097965,c5f588da-74f5-11ed-a166-0242ac1c000c
15,c59b5b9e-74f5-11ed-a166-0242ac1c000c,c5b30f8c-74f5-11ed-a166-0242ac1c000c,c5ca3ffe-74f5-11ed-a166-0242ac1c000c,c5dfa6d2-74f5-11ed-a166-0242ac1c000c,1494772675,c5f5897a-74f5-11ed-a166-0242ac1c000c
16,c59b5c0c-74f5-11ed-a166-0242ac1c000c,c5b31036-74f5-11ed-a166-0242ac1c000c,c5ca40a8-74f5-11ed-a166-0242ac1c000c,c5dfa790-74f5-11ed-a166-0242ac1c000c,900416758,c5f58a2e-74f5-11ed-a166-0242ac1c000c
17,c59b5ce8-74f5-11ed-a166-0242ac1c000c,c5b310ea-74f5-11ed-a166-0242ac1c000c,c5ca4152-74f5-11ed-a166-0242ac1c000c,c5dfa844-74f5-11ed-a166-0242ac1c000c,600329642,c5f58bfa-74f5-11ed-a166-0242ac1c000c
18,c59b5db0-74f5-11ed-a166-0242ac1c000c,c5b3119e-74f5-11ed-a166-0242ac1c000c,c5ca41fc-74f5-11ed-a166-0242ac1c000c,c5dfa8ee-74f5-11ed-a166-0242ac1c000c,1037391378,c5f58cb8-74f5-11ed-a166-0242ac1c000c
