,Id_Us,CC_As,Id_Exa
0,a6a9dada-74f5-11ed-b542-0242ac1c0002,270613271,a6c52e98-74f5-11ed-b542-0242ac1c0002
1,a6a9ddc8-74f5-11ed-b542-0242ac1c0002,1340815212,a6c53050-74f5-11ed-b542-0242ac1c0002
2,a6a9deb8-74f5-11ed-b542-0242ac1c0002,115376973,a6c5312c-74f5-11ed-b542-0242ac1c0002
3,a6a9df80-74f5-11ed-b542-0242ac1c0002,2148662690,a6c531f4-74f5-11ed-b542-0242ac1c0002
4,a6a9e03e-74f5-11ed-b542-0242ac1c0002,1671595285,a6c532b2-74f5-11ed-b542-0242ac1c0002
5,a6a9e0fc-74f5-11ed-b542-0242ac1c0002,323848206,a6c53366-74f5-11ed-b542-0242ac1c0002
6,a6a9e1c4-74f5-11ed-b542-0242ac1c0002,1675135013,a6c53424-74f5-11ed-b542-0242ac1c0002
7,a6a9e278-74f5-11ed-b542-0242ac1c0002,684765553,a6c534d8-74f5-11ed-b542-0242ac1c0002
8,a6a9e32c-74f5-11ed-b542-0242ac1c0002,2060729938,a6c5358c-74f5-11ed-b542-0242ac1c0002
9,a6a9e3ea-74f5-11ed-b542-0242ac1c0002,221614309,a6c5364a-74f5-11ed-b542-0242ac1c0002
10,a6a9e49e-74f5-11ed-b542-0242ac1c0002,199840748,a6c5376c-74f5-11ed-b542-0242ac1c0002
11,a6a9e552-74f5-11ed-b542-0242ac1c0002,890974646,a6c53848-74f5-11ed-b542-0242ac1c0002
12,a6a9e606-74f5-11ed-b542-0242ac1c0002,817823212,a6c538fc-74f5-11ed-b542-0242ac1c0002
13,a6a9e6ba-74f5-11ed-b542-0242ac1c0002,1709184494,a6c539ba-74f5-11ed-b542-0242ac1c0002
14,a6a9e76e-74f5-11ed-b542-0242ac1c0002,2382267531,a6c53a64-74f5-11ed-b542-0242ac1c0002
15,a6a9e836-74f5-11ed-b542-0242ac1c0002,1848251981,a6c53b22-74f5-11ed-b542-0242ac1c0002
16,a6a9e926-74f5-11ed-b542-0242ac1c0002,1811388785,a6c53bd6-74f5-11ed-b542-0242ac1c0002
17,a6a9e9e4-74f5-11ed-b542-0242ac1c0002,163106559,a6c53c94-74f5-11ed-b542-0242ac1c0002
18,a6a9ea8e-74f5-11ed-b542-0242ac1c0002,2355370240,a6c53d52-74f5-11ed-b542-0242ac1c0002
19,a6a9eb4c-74f5-11ed-b542-0242ac1c0002,720647542,a6c53e10-74f5-11ed-b542-0242ac1c0002
20,a6a9ec00-74f5-11ed-b542-0242ac1c0002,621801854,a6c53ec4-74f5-11ed-b542-0242ac1c0002
21,a6a9ecb4-74f5-11ed-b542-0242ac1c0002,658875859,a6c53f78-74f5-11ed-b542-0242ac1c0002
22,a6a9ed68-74f5-11ed-b542-0242ac1c0002,1463112111,a6c5402c-74f5-11ed-b542-0242ac1c0002
23,a6a9ee12-74f5-11ed-b542-0242ac1c0002,1866843060,a6c540d6-74f5-11ed-b542-0242ac1c0002
24,a6a9eed0-74f5-11ed-b542-0242ac1c0002,2105040037,a6c5418a-74f5-11ed-b542-0242ac1c0002
25,a6a9ef7a-74f5-11ed-b542-0242ac1c0002,444300963,a6c5423e-74f5-11ed-b542-0242ac1c0002
26,a6a9f02e-74f5-11ed-b542-0242ac1c0002,1678221945,a6c542f2-74f5-11ed-b542-0242ac1c0002
27,a6a9f10a-74f5-11ed-b542-0242ac1c0002,301900393,a6c5439c-74f5-11ed-b542-0242ac1c0002
